date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-11-25,545213,1614335697,6469,267877740,41409.45122893801,64540440796.87951,3557961718299250.0,0.0037969805842019743,2.15762417883018,0.002033712,1.1556514674407599,4578.870014023182,2601930.780231606,266.38071542,13505.8125,4.3402932925,7674642.2475772165,13505.8125,7674642.2475772165,28.364720695218,32.95717790402999,0.030309122209645482,568.2473562828758,284.0991616833346,44.221279952432624,113578074.90573001,162790551.94063613,109391425.63680632,1205924,662877,4004202.125807505,2275377272.0123854,8.399381557336714,4772.9263643677305,0.12680106,72.05436711886628,5567756.848582688,3163863109.632989,0.039426084382376,0.03815929054556804,0.03210139264496255
2020-11-26,551486,1614335697,6533,266882378,40851.42782795041,58885598655.96444,3518481442900868.5,0.00954107535774973,4.94606824099552,0.0038571624,1.9995427906882777,11194.829949508488,5803370.249207275,266.14541055,13551.1875,4.354355684,7024899.773701545,13551.1875,7024899.773701545,14.062639740879998,29.639046625712382,0.03029133648285077,518.3973562244302,238.2727775113528,28.30174434860972,113591626.09323001,162659982.99616838,109404098.5734212,1173330,622112,8077546.476783951,4187378738.344761,19.38969521959837,10051.566739837268,0.2,103.67947124488606,12062562.072454782,6253200287.653642,0.03946695967701093,0.04251757325382318,0.03458413646220184
2020-11-27,559050,1614335698,6417,245205040,38211.78743961353,58738522860.170944,3556211536014520.5,0.002832888308161081,1.464721718727893,0.00129606,0.6701172175781134,3124.361353299466,1615425.4716460865,264.17947875,13349.1875,4.2889437055,6902088.162915708,13349.1875,6902088.162915708,23.675055747677998,29.405991682775262,0.030233529373645738,517.041817182934,242.3882348481476,32.94866167633769,113604975.28073001,162738609.68857673,109417407.65241486,1102889,609061,4798509.304117283,2481029970.3700166,11.106613667936527,5742.583713618716,0.11825131654230547,61.14087558930795,6764605.227207091,3497583779.200327,0.03925251884876085,0.04166333096110407,0.03458728844740504
2020-11-28,689375,1614335698,6599,225785904,34215.16957114714,61448304280.81784,3465398680794348.5,0.002260769283934349,1.2226900659413982,0.000854238,0.4619968627369139,2243.4404873729923,1213318.146585958,264.72965730000004,13710.875,4.404618228,7415241.695379957,13710.875,7415241.695379957,46.23133610601,30.865230318352733,0.03047718853930453,540.8292100526011,250.60431799287466,39.82559470530041,113618686.15573001,162556211.1383653,109432676.09691502,992335,550298,2457611.9949291083,1329148353.8333066,6.543430562248392,3538.8783820148446,0.10209558679655567,55.21627555703797,3600836.751544166,1947437695.8660047,0.03903006024709378,0.042055093603802336,0.034940892716043545
2020-11-29,739327,1614335698,6512,226230584,34740.5687960688,65324166330.141205,3615578620968005.0,0.001974335284317683,1.1349931441134355,0.0008159382000000001,0.469061293882668,1962.351069141875,1128103.7357286671,272.50980956,13547.8125,4.3517155295,7788279.137476076,13547.8125,7788279.137476076,43.88157305046099,33.065629436092784,0.03160231774603371,574.8735552308592,278.16595665088687,49.86418022990461,113632233.96823001,162677695.7588836,109451063.82634194,993930,594395,2589520.5223741625,1488646869.0405068,6.216047963722594,3573.4415923907504,0.091337459393555,52.50749000732721,3694787.82939689,2124035815.3090994,0.03905275814252642,0.042846388470405485,0.03562448764273162
2020-11-30,527321,1614335699,6570,263180207,40057.870167427696,69718300657.21927,3616421104215009.5,0.0050869113280593145,3.1206649103190593,0.0025614,1.5713407578387493,6022.470624959342,3694601.9973003906,274.97592699,13679.1875,4.3933858275,8391764.212098205,13679.1875,8391764.212098205,26.26316794321,35.580630009346855,0.031196947534501175,613.469492402104,305.2507511960032,58.689322582640045,113645913.15573001,162734314.0363811,109464204.86196646,1183915,622251,4327197.44249706,2654603618.5723543,9.38330098087092,5756.368889791046,0.12365056465078453,75.85584913155033,5838768.418647911,3581906298.04137,0.03927125974307108,0.04384472150995835,0.03616591421842838
2020-12-01,559564,1614335699,6519,263716348,40453.49716214143,66860366299.23067,3692341652786688.5,0.005579681911173236,3.282256561941149,0.002770275,1.6296185771671685,6541.401465064968,3847989.585213889,278.58826337,13567.5625,4.3570147089999995,7981139.741316884,13567.5625,7981139.741316884,20.26804334935,34.189851165311964,0.03125571510799035,588.2515552308593,294.66007218510714,48.70692466660383,113659480.71823001,162742772.50158244,109477742.75504322,1172361,665115,5607817.131586975,3298807149.1062937,11.258641535964365,6622.913393317788,0.113431836,66.72645393969178,7488291.365192939,4404999041.596561,0.039425265937366234,0.045044447454794856,0.036591845125211526
2020-12-02,464131,1614335700,6441,250246297,38852.087719298244,68081684465.367004,3518482216809904.0,0.002944862306180373,1.7637558084513798,0.0014336784,0.8586678569467892,3155.093081356284,1889668.5718609155,262.36959659,13390.1875,4.299546919,8019736.926175833,13390.1875,8019736.926175833,33.309377330791,35.04916989519671,0.031169939757050038,598.9264098188193,306.1471607254099,56.032053076781104,113672870.90573001,162791330.18798834,109489918.5964862,1071389,579013,3412638.7226293767,2043919458.1530936,8.399059453254532,5030.418524192552,0.15079233432463554,90.31351142525307,4863164.611207267,2912677720.948302,0.03941228335189908,0.04429890953379628,0.03660074457095865
2020-12-03,498903,1614335700,6559,265846524,40531.56334807135,70207575007.35742,3610522802719949.0,0.003130710180242707,1.9333834399962468,0.0015541679999999999,0.9597830847246104,3488.1684072024586,2154133.294408138,274.12485568,13615.3125,4.371310299,8408194.371998103,13615.3125,8408194.371998103,29.099727907507,36.246582571564225,0.03171774007195712,617.5542700175337,323.86132386477965,58.938909119124936,113686486.21823001,162704374.81056327,109503494.71768036,1114178,618896,3906788.633198908,2412654002.4879494,9.729977780563265,6008.7893255625695,0.15362920445391093,94.87437120990941,6021844.328479483,3718815678.433372,0.039458038171961404,0.04438878723622,0.03669514238215205
2020-12-04,491692,1614335700,6449,266096763,41261.7092572492,65056501295.34611,3634624816443200.0,0.003470155012489407,1.985543496269492,0.0017640000000000002,1.0093205389423725,3936.325226402195,2252275.452927846,271.39519665,13437.5,4.313712204,7688630.806144066,13437.5,7688630.806144066,24.921086385377002,33.642915056606995,0.030543862779009476,572.1771762711862,286.5476959723838,42.40503294358718,113699923.71823001,162880624.24238524,109516673.87571314,1134337,604755,4562398.362574772,2610500212.122317,12.758094795622881,7299.890654759618,0.15,85.82657644067794,7715521.618126916,4414645372.919152,0.039921433036191535,0.0472819620973142,0.03831926139870607
2020-12-05,562799,1614335701,6495,246495983,37951.65250192456,67649911267.46631,3615951621594437.0,0.002522365593877573,1.5005948815862098,0.00112418,0.6687923265668616,2662.9168494996193,1584211.0295779572,271.83577592,13518.0,4.3390384955000005,8042070.371765049,13518.0,8042070.371765049,25.085084787986002,34.93550250048247,0.0311235738308491,594.9156954997077,300.0773022351978,42.66653945662764,113713441.71823001,162728710.69670892,109527632.36289026,1055722,662642,4533109.7215462085,2696818122.7701497,13.95362755271963,8301.232040270083,0.1,59.49156954997078,9246259.66878924,5500745001.628647,0.040002783516638336,0.04731705838724454,0.038044206546706025
2020-12-06,505086,1614335701,6558,251301379,38319.81991460811,68491760149.45558,3629167538704029.0,0.002559950560971197,1.541721973955456,0.0011072876,0.6668603880227855,2648.3072545831174,1594934.5078865292,275.49842036,13626.3125,4.3732808245,8206402.781959931,13626.3125,8206402.781959931,50.762185488347995,35.46676634152952,0.031113712393526387,602.2467767387492,308.26082980063217,31.94206873446679,113727068.03073001,162725208.786375,109540907.67593351,1034515,623690,2240389.513111766,1349267362.9108567,5.388212614543721,3245.033679492025,0.16207843365402613,97.61121424700248,3360574.3255647733,2023895055.5623815,0.039997001838440266,0.04493470873463819,0.03803719246029817
2020-12-07,504152,1614335702,6465,261566238,40458.81484918793,67313906276.995804,3625010173857277.5,0.0032387392128395537,1.916750949484196,0.001546331,0.915149759732655,3570.7132208948215,2113219.838557276,271.23585798,13419.6875,4.3064576465,7942040.734688961,13419.6875,7942040.734688961,28.599684383531,34.725466097096856,0.030852603457003518,591.8200952659263,292.35368025030584,35.498599348160376,113740487.71823001,162706075.62101942,109549280.56606859,1102501,630196,3976984.0181777086,2353659060.5089974,9.040188840876901,5350.165421029731,0.17362026,102.75195881329489,5697090.846765261,3371652847.6712527,0.04002658226362444,0.04410140169565496,0.03812224593271042
2020-12-08,498285,1614335702,6484,276185074,42594.86027143738,63055933387.44696,3637824091078682.0,0.004213912837146037,2.335850033887345,0.0020519,1.1374062230911162,4845.224402755907,2685797.742564212,273.03896433,13479.0625,4.324998916499999,7471694.316942394,13479.0625,7471694.316942394,27.815797652895004,32.498628563087046,0.03022295436663908,554.318545295149,276.1266720322702,21.72773139639668,113753966.78073001,162624837.02587703,109561563.90608594,1149816,654628,4089545.379939472,2266910845.9265456,9.837552335569834,5453.137699917965,0.175,97.00574542665107,6439937.21032941,3569776626.221898,0.03997814092209656,0.0457641519523096,0.03901659509596492
2020-12-09,496565,1614335702,6603,268792225,40707.59124640315,65326998043.82279,3633816162748326.5,0.00436637066823314,2.5072314828190936,0.002184,1.25408353402408,5024.9154251574,2885377.1495208344,277.747662,13704.875,4.3969251595,7869532.084870996,13704.875,7869532.084870996,23.233639663710004,33.696645707936504,0.03091377913405538,574.2140723553478,294.11696476324033,29.168070204524952,113767671.65573001,162692451.04279155,109574252.00853296,1150822,655185,4896678.837342553,2811741896.2067165,11.489319792207406,6597.329106476311,0.19022113840348948,109.22765453073792,7527629.9880574085,4322471070.626682,0.0400092236280642,0.04567718023198816,0.03917932041381002
2020-12-10,462934,1614335703,6425,256423940,39910.34085603113,63768589361.80646,3692368191499610.0,0.0038904622855472602,2.180410820786307,0.0018406276,1.0315803216977821,4250.053824138107,2381944.0125407646,274.5947981,13313.8125,4.2709610315,7461730.43464846,13313.8125,7461730.43464846,27.36836012657,32.946401482407616,0.030634326615399818,560.4503168907073,291.5662209800802,24.130294658884143,113780985.46823001,162754867.08245444,109587544.08670208,1092429,606642,4157391.416293383,2330011336.7003336,9.0993145958956,5099.713748757925,0.17,95.27655387142023,5520026.405083298,3093700547.9740057,0.040068224639312096,0.0460432785411602,0.039390059548638265
