date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-01-30,236.0,1614334987.0,344.0,169423.0,492.50872093,0.0,4.945520833333329e-05,0.0,3.74e-05,0.0,0.0094954,0.0,86000.0,21536.730465,0.0,86000.0,0.0,1.24226178,0.0,0.0,0.0,0.0,0.0,145751.0,192.0,522.0,117327.12204685,0.0,627.06003222,0.0,87.30224653,0.0,327325.33681697,0.0,0.0,0.0,0.0
2016-01-31,1196.0,1614334987.0,1369.0,1586306.0,1158.73338203,0.0,0.000115838204193254,0.0,9.099e-05,0.0,0.12707451,0.0,342250.0,25598.564345,0.0,342250.0,0.0,1.3323114999999999,0.0,0.0,0.0,0.0,0.0,488001.0,1097.0,15820.0,366281.45970463,0.0,25.55327871,0.0,4.350694435,0.0,404252.86920334,0.0,0.0,0.0,0.0
2016-02-01,1128.0,1614334988.0,1361.0,2425551.0,1782.18295371,0.0,0.000213985504950495,0.0,8.175e-05,0.0,0.21612536,0.0,340250.0,14994.397830000002,0.0,340250.0,0.0,1.40372378,0.0,0.0,0.0,0.0,0.0,828251.0,1010.0,12679.0,590038.44668783,0.0,51.51238759,0.0,4.20276203,0.0,653125.56223369,0.0,0.0,0.0,0.0
2016-02-02,900.0,1614334988.0,1366.0,1936186.0,1417.41288433,0.0,0.00023777348965517203,0.0,8.868e-05,0.0,0.17238578,0.0,341500.0,10655.900155,0.0,341500.0,0.0,1.98691749,0.0,0.0,0.0,0.0,0.0,1169751.0,725.0,8958.0,588726.51013523,0.0,80.84120937,0.0,4.61965685,0.0,724175.55357985,0.0,0.0,0.0,0.0
2016-02-03,858.0,1614334988.0,1354.0,1490463.0,1100.78508124,0.0,0.000178462492492492,0.0,5.805e-05,0.0,0.11885602,0.0,338500.0,8191.773109999999,0.0,338500.0,0.0,2.64366478,0.0,0.0,0.0,0.0,0.0,1508251.0,666.0,5099.0,570515.22268243,0.0,155.30758936,0.0,9.12829032,0.0,791913.39814694,0.0,0.0,0.0,0.0
2016-02-04,986.0,1614334988.0,1353.0,1174990.0,868.4331116000001,0.0,0.000129887082262211,0.0,3.73e-05,0.0,0.10105215,0.0,338250.0,6686.22695,0.0,338250.0,0.0,4.10432163,0.0,0.0,0.0,0.0,0.0,1846501.0,778.0,2610.0,449891.88675694,0.0,217.21505519,0.0,34.891232025,0.0,566931.29403684,0.0,0.0,0.0,0.0
2016-02-05,840.0,1614334988.0,1342.0,1282189.0,955.4314456000001,0.0,0.000161797325769854,0.0,3.776e-05,0.0,0.09982895,0.0,335500.0,5612.2936549999995,0.0,335500.0,0.0,4.16999368,0.0,0.0,0.0,0.0,0.0,2181951.0,617.0,2295.0,523250.43319041,0.0,342.12399296,0.0,16.5293069,0.0,785174.56384448,0.0,0.0,0.0,0.0
2016-02-06,985.0,1614334988.0,1329.0,1332803.0,1002.86155004,0.0,0.000143701462140992,0.0,2.297e-05,0.0,0.11007532,0.0,332250.0,4823.4509100000005,0.0,332250.0,0.0,4.20427441,0.0,0.0,0.0,0.0,0.0,2514201.0,766.0,1916.0,598010.68044274,0.0,425.33702067,0.0,38.76246038,0.0,814945.73160147,0.0,0.0,0.0,0.0
2016-02-07,1113.0,1614334988.0,1378.0,838219.0,608.28664731,0.0,6.50793679458239e-05,0.0,2.312e-05,0.0,0.05766032,0.0,344500.0,4398.588720000001,0.0,344500.0,0.0,7.55815628,0.0,0.0,0.0,0.0,0.0,2858701.0,886.0,2021.0,378227.29410689,0.0,394.35370077,0.0,44.44589887,0.0,796988.8292483,0.0,0.0,0.0,0.0
2016-02-08,618.0,1614334988.0,1361.0,732754.0,538.39382807,0.0,0.000121631625344353,0.0,5.218e-05,0.0,0.04415228,0.0,340250.0,3882.249135,0.0,340250.0,0.0,8.80185288,0.0,0.0,0.0,0.0,0.0,3198951.0,363.0,926.0,363440.63495709,0.0,744.87830634,0.0,31.18866999,0.0,689757.31167481,0.0,0.0,0.0,0.0
