date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-11-30,17,1614335541,1423,953211.7166679084,14.967075438532099,0.0015851990748718308,15.0,0.0015886861946230349,8157.056114,0.8639334958051481,0,0,0.0,0,0.0,1341.19800693,611.7826149642857,2.806445796586223e-07,0.000105912412974869,0.0,-26.425428730931905,8999999999,545,9,6710418.56051,710.7166218149611,745602.0622788891,78.96851353499568,13215.294109,1.3996636872567612,6710418.56051,710.7166218149611,0.06894643487070974,0.08635271698723251,0.08058370479016802
2015-12-01,11,1614335541,1435,1045805.8608773713,15.946657343558302,0.0018530119681277172,15.0,0.00174300976832262,5198.610294,0.6040819016096352,0,0,0.0,0,0.0,830.6730394,668.7151684757068,3.2052489371170374e-07,0.00011620065122150801,0.0,-23.312021498859387,8999999999,326,9,10834587.824760001,1258.9861609537338,1203843.09164,139.88735121708152,62546.60318400001,7.267956021674045,10834587.824760001,1258.9861609537338,0.0692625171877252,0.08769153591082086,0.07851214235756626
2015-12-02,14,1614335541,1430,936022.9420900455,15.6722413014706,0.0016299530459752871,6.0,0.000624015294796032,2131.424817,0.22167361425263887,0,0,0.0,0,0.0,395.68011662,590.9079904221219,2.895213325540626e-07,0.000104002549132672,0.0,-36.613758642585566,8999999999,136,16,22745646.346297,2365.605201685135,1421602.89664356,147.85032510532065,57258.632546500005,5.955043744686978,22745646.346297,2365.605201685135,0.06971778147142094,0.08796314750732337,0.07697906796209113
2015-12-03,29,1614335541,1430,975421.083287086,17.1772860567901,0.0018616763305897809,14.0,0.001517321685281836,6956.800853,0.7539789138888623,0,0,0.0,0,0.0,825.43389556,611.6242330016357,3.000473407364125e-07,0.000108380120377274,0.0,-37.13338335831424,8999999999,405,28,10903356.461885002,1181.7070858554243,389405.58792446397,42.20382449483655,100145.0,10.853727155182105,10903356.461885002,1181.7070858554243,0.06977602908978105,0.08776712329466893,0.0769912521884403
2015-12-04,8,1614335541,1437,1046135.8994512656,13.8944842408163,0.0016150576411436508,14.0,0.0016273225104383381,3404.148639,0.3956891220801951,0,0,0.0,0,0.0,2027.12545087,655.2738172536593,3.199999999999999e-07,0.00011623732217416699,0.0,-21.6393858319562,8999999999,245,3,4439784.422378,516.0686522877995,1479928.14079267,172.0228840959335,22000.0,2.557221087831674,4439784.422378,516.0686522877995,0.06993834684424231,0.08527674433117499,0.07746483033187772
2015-12-05,14,1614335541,1426,1013177.4892977295,14.4232059836661,0.0016236964030865012,14.0,0.00157605387241603,7947.186497,0.8946567181006597,0,0,0.0,0,0.0,565.94114948,632.5780094633498,2.891268264173001e-07,0.000112575276601145,0.0,-25.574849604642893,8999999999,551,9,15902713.572394,1790.2523791210372,1766968.17471044,198.91693101344805,7976.752073999999,0.8979850711093069,15902713.572394,1790.2523791210372,0.06985371714256411,0.08521965641742242,0.07660708023926642
2015-12-06,13,1614335541,1427,934332.7967361723,15.2391647703436,0.0015820501601533925,15.0,0.001557221328066645,8427.258118000002,0.874873738564825,0,0,0.0,0,0.0,1016.57723496,579.7222404591432,2.6394534959633517e-07,0.000103814755204443,0.0,-27.41614847961189,8999999999,553,11,8853237.79593,919.0967145511952,804839.79963,83.55424677738138,62550.195618,6.493633246072694,8853237.79593,919.0967145511952,0.06879777562285916,0.08580783304079917,0.07698591913985765
2015-12-07,10,1614335541,1433,1115521.3477378094,14.328049266423399,0.0017759160922122528,14.0,0.001735255430007176,7851.770998,0.9732020185323116,0,0,0.0,0,0.0,4664.46242157,695.2437690330777,3.135143191116313e-07,0.000123946816429084,0.0,-16.877734668040738,8999999999,548,6,1929482.796854,239.15325002473824,321580.466142333,39.85887500412301,12500.0,1.5493352053635503,1929482.796854,239.15325002473824,0.0698913175155089,0.09200614271136323,0.07866185770012632
2015-12-08,9,1614335541,1431,1173103.1921415352,15.424356484848499,0.0020104846479016944,14.5,0.0018899995875491398,8144.060224,1.0615358940920936,0,0,0.0,0,0.0,1109.99682502,732.153210323653,3.149957010616845e-07,0.00013034479914132,0.0,-5.401955375196387,8999999999,528,10,8108131.299239,1056.8527456107574,810813.1299239,105.68527456107576,333319.91001,43.44651672005631,8108131.299239,1056.8527456107574,0.06993005899687035,0.09150433462334934,0.07888672870085632
2015-12-09,19,1614335541,1425,1240369.0334594897,14.550141777966099,0.0020052828106488477,14.0,0.001929462941151368,8584.583649,1.1831168582828198,0,0,0.0,0,0.0,1079.21651132,778.8420329345532,3.299999999999991e-07,0.000137818781510812,0.0,-7.126008854125977,8999999999,590,14,8339383.158642999,1149.3236254759652,595670.2256173571,82.09454467685458,56186.0943795,7.743499065234176,8339383.158642999,1149.3236254759652,0.07002045202621188,0.09103797989639738,0.0791542321617325
2015-12-10,12,1614335542,1434,1240190.251957467,15.2408396274864,0.0021001711933062088,14.0,0.001929184836592636,8428.184314,1.1613946698983364,0,0,0.0,0,0.0,730.61159838,771.6622410954187,3.3146258866763147e-07,0.000137798916899474,0.0,0.18008608593090394,8999999999,553,16,12318446.653369,1697.4686067181979,769902.915835563,106.0917879198875,49642.686193,6.840708389375873,12318446.653369,1697.4686067181979,0.06993744474685144,0.089976115032992,0.07914299510972589
2015-12-11,9,1614335542,1434,1292764.7887190096,15.3337425066414,0.0022025469326747236,15.0,0.00215460798143775,8080.882301000001,1.1607422335195767,0,0,0.0,0,0.0,1240.34921721,799.8013394100607,3.1648540002812376e-07,0.00014364053209585,0.0,13.451759216360418,8999999999,527,8,7256021.025473,1042.2587209976168,907002.628184125,130.28234012470213,194852.5,27.98871678020661,7256021.025473,1042.2587209976168,0.07000108213557665,0.08888146652189513,0.07920693573741666
