date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-02-08,7235,1614335089,331,791498,2391.2326284,0.0,0.0,0.0,35675.0194461916,0.0495396598240469,0.0,0.05,0.0,84.46512,0.0,33.88018537,0.0,0.0,0.0,0.0,0.0,1687121.7708312,1687121.7708312,876092.3085534,1705,2050,49796.710150599996,0.0,34.79712468,0.0,2.05,0.0,71334.10559961,0.0,0.0,0.0,0.0
2016-02-09,15783,1614335089,359,2807946,7821.57660167,0.0,0.0,0.0,148829.14060415598,0.0497602214452214,0.0,0.05,0.0,426.9427,0.0,11.07150232,0.0,0.0,0.0,0.0,0.0,1694534.33936296,1694534.33936296,907384.94691022,8580,6129,153053.69501941,0.0,33.64430474,0.0,2.06,0.0,206205.94375669,0.0,0.0,0.0,0.0
2016-02-10,5469,1614335090,161,1317896,8185.68944099,0.0,0.0,0.0,228174.59591255398,0.0580866592721441,0.0,0.05,0.0,235.42523003,0.0,17.73111914,0.0,0.0,0.0,0.0,0.0,1697814.68379397,1697814.68379397,920163.03853297,4053,2687,95753.38538233,0.0,48.68573813,0.0,2.06,0.0,130818.57835289,0.0,0.0,0.0,0.0
2016-02-11,6910,1614335090,292,2220122,7603.15753425,0.0,0.0,0.0,149393.504022381,0.0554274430113977,0.0,0.06,0.0,369.59019,0.0,32.65816799,0.0,0.0,0.0,0.0,0.0,1703821.52056685,1703821.52056685,950258.95716913,6668,4502,52171.37474653,0.0,15.679403299999999,0.0,2.06,0.0,70588.67363849,0.0,0.0,0.0,0.0
2016-02-12,6857,1614335090,371,1390380,3747.65498652,0.0,0.0,0.0,142203.528110116,0.0528025168655942,0.0,0.05,0.0,203.5009,0.0,32.11646286,0.0,0.0,0.0,0.0,0.0,1711719.57584229,1711719.57584229,976999.64727771,3854,3001,53297.26325331,0.0,24.66798044,0.0,2.06,0.0,74028.60930806,0.0,0.0,0.0,0.0
2016-02-13,3004,1614335090,286,526738,1841.74125874,0.0,0.0,0.0,215942.48707084,0.0497554831288344,0.0,0.05,0.0,64.88115,0.0,72.75270868,0.0,0.0,0.0,0.0,0.0,1717900.09918333,1717900.09918333,982287.96997799,1304,1269,23612.86789818,0.0,29.72482527,0.0,5.35146084,0.0,37720.80326738,0.0,0.0,0.0,0.0
2016-02-14,3985,1614335091,238,824362,3463.70588235,0.0,0.0,0.0,225406.918173243,0.0580609958506224,0.0,0.05,0.0,97.9489,0.0,40.27443157,0.0,0.0,0.0,0.0,0.0,1722999.37499965,1722999.37499965,996644.78512123,1687,1292,42781.46972291,0.0,40.80245259,0.0,2.05,0.0,52716.76875251,0.0,0.0,0.0,0.0
2016-02-15,3650,1614335091,250,735240,2940.96,0.0,0.0,0.0,176440.88791748398,0.0546209956709957,0.0,0.05,0.0,100.9396,0.0,46.28611892,0.0,0.0,0.0,0.0,0.0,1728357.70505965,1728357.70505965,1006223.21951623,1848,1857,37340.73509594,0.0,28.60512438,0.0,2.06,0.0,53119.71597205,0.0,0.0,0.0,0.0
2016-02-16,3014,1614335091,395,829088,2098.95696203,0.0,0.0,0.0,160498.812249773,0.0560687531936638,0.0,0.05,0.0,109.72655,0.0,58.65831015,0.0,0.0,0.0,0.0,0.0,1737149.06252669,1737149.06252669,1018525.32137431,1957,2402,29614.71372195,0.0,16.19458397,0.0,2.06,0.0,38899.3907012,0.0,0.0,0.0,0.0
2016-02-17,3413,1614335091,282,598848,2123.57446809,0.0,0.0,0.0,251283.064279077,0.052183608815427,0.0,0.05,0.0,75.7706,0.0,97.96033755,0.0,0.0,0.0,0.0,0.0,1742955.91014893,1742955.91014893,1023709.46714469,1452,1353,17792.46533663,0.0,21.02166582,0.0,5.15822598,0.0,28442.31385383,0.0,0.0,0.0,0.0
2016-02-18,2568,1614335091,270,495654,1835.75555556,0.0,0.0,0.0,275746.53423856397,0.0504366100323625,0.0,0.05,0.0,62.33965,0.0,141.08379614,0.0,0.0,0.0,0.0,0.0,1748789.58173173,1748789.58173173,1028700.85140929,1236,1122,12395.39642124,0.0,18.22014476,0.0,5.066295875,0.0,20443.00242575,0.0,0.0,0.0,0.0
2016-02-19,2261,1614335092,272,439069,1614.22426471,0.0,0.0,0.0,253105.096076938,0.0518514948453608,0.0,0.05,0.0,50.29595,0.0,143.21969975,0.0,0.0,0.0,0.0,0.0,1754678.97117181,1754678.97117181,1033741.71436585,970,1038,12251.65933379,0.0,18.7374534,0.0,5.00121963,0.0,19449.47663177,0.0,0.0,0.0,0.0
2016-02-20,6611,1614335092,298,1960729,6579.62751678,0.0,0.0,0.0,220949.51822520103,0.0213391010802469,0.0,0.01,0.0,110.6219,0.0,27.4536065,0.0,0.0,0.0,0.0,0.0,1761075.79870653,1761075.79870653,1064208.90626789,5184,5077,64147.33885075,0.0,14.58330505,0.0,2.01,0.0,74039.43971362,0.0,0.0,0.0,0.0
2016-02-21,7603,1614335092,311,1126081,3620.8392283,0.0,0.0,0.0,246628.295112913,0.0508134699361774,0.0,0.05,0.0,151.2717,0.0,108.36361037,0.0,0.0,0.0,0.0,0.0,1767884.51971322,1767884.51971322,1070051.80448309,3075,1196,16314.37448059,0.0,20.62688207,0.0,4.997281200000001,0.0,24669.75095486,0.0,0.0,0.0,0.0
2016-02-22,10371,1614335092,236,1734508,7349.61016949,0.0,0.0,0.0,259035.408179392,0.0553358685868587,0.0,0.05,0.0,184.43445,0.0,17.67526261,0.0,0.0,0.0,0.0,0.0,1775103.47729391,1775103.47729391,1076114.29224913,4410,1097,100428.690444,0.0,150.97026784,0.0,4.99837699,0.0,165614.38381884,0.0,0.0,0.0,0.0
2016-02-23,17464,1614335093,291,2481311,8526.8419244,0.0,0.0,0.0,213318.34851117397,0.0508153276764759,0.0,0.05,0.0,281.4661,0.0,19.51655446,0.0,0.0,0.0,0.0,0.0,1782783.00227688,1782783.00227688,1083457.25478701,6855,1376,91347.22044177,0.0,205.88992575,0.0,5.285356575,0.0,283304.53783358,0.0,0.0,0.0,0.0
2016-02-24,18857,1614335093,349,2716204,7782.81948424,0.0,0.0,0.0,243747.169014844,0.0507721836545577,0.0,0.05,0.0,301.89140401,0.0,22.86955237,0.0,0.0,0.0,0.0,0.0,1793036.64297908,1793036.64297908,1102683.92887814,7592,1986,78402.78700293,0.0,88.54470236,0.0,3.022079815,0.0,175849.77889268,0.0,0.0,0.0,0.0
2016-02-25,7902,1614335093,283,1798238,6354.19787986,0.0,0.0,0.0,302787.204074434,0.0561177984913793,0.0,0.05,0.0,156.231951,0.0,8.81237132,0.0,0.0,0.0,0.0,0.0,1801498.92706475,1801498.92706475,1110299.55823028,4141,1434,204428.39526636,0.0,213.93275764,0.0,5.02352706,0.0,306779.57445501,0.0,0.0,0.0,0.0
2016-02-26,7346,1614335093,261,1337046,5122.7816092,0.0,0.0,0.0,306046.977308553,0.0519740454325761,0.0,0.05,0.0,107.5343,0.0,15.20977604,0.0,0.0,0.0,0.0,0.0,1809262.51798499,1809262.51798499,1117286.37306856,3314,1171,118953.92232331,0.0,134.37531204,0.0,5.12416833,0.0,157353.49039719,0.0,0.0,0.0,0.0
2016-02-27,6165,1614335093,261,1173992,4498.05363985,0.0,0.0,0.0,269200.25640295603,0.0547163394109397,0.0,0.05,0.0,78.0255,0.0,14.767698800000002,0.0,0.0,0.0,0.0,0.0,1817147.30588648,1817147.30588648,1124382.53047387,2690,1295,123048.77897822,0.0,108.31479388,0.0,3.95900459,0.0,140267.65807581,0.0,0.0,0.0,0.0
2016-02-28,10258,1614335094,319,1670609,5237.01880878,0.0,0.0,0.0,253340.2539789,0.0518011984569224,0.0,0.05,0.0,120.85219599999999,0.0,89.04034998,0.0,0.0,0.0,0.0,0.0,1826663.09124096,1826663.09124096,1132946.21920094,3859,1501,20515.00349835,0.0,44.32810977,0.0,3.43524418,0.0,66536.49277105,0.0,0.0,0.0,0.0
2016-02-29,8778,1614335094,283,1694038,5986.0,0.0,0.0,0.0,263915.4903619,0.0434850388052754,0.0,0.05,0.0,112.10443004,0.0,68.19903196,0.0,0.0,0.0,0.0,0.0,1835025.24825027,1835025.24825027,1150471.76591551,3931,2287,26906.91048775,0.0,15.86688531,0.0,5.05722413,0.0,36287.5667129,0.0,0.0,0.0,0.0
2016-03-01,8330,1614335094,296,1779293,6011.125,0.0,0.0,0.0,267529.830302503,0.0463226149130939,0.0,0.05,0.0,119.92925001,0.0,48.51987937,0.0,0.0,0.0,0.0,0.0,1843812.97908069,1843812.97908069,1163380.45394971,4012,2257,38001.1863794,0.0,85.59102719,0.0,6.360499099999999,0.0,193178.94835682,0.0,0.0,0.0,0.0
2016-03-02,5446,1614335094,261,1116834,4279.05747126,0.0,0.0,0.0,271623.74790525896,0.0567460825863521,0.0,0.05,0.0,67.35760003,0.0,54.74144049,0.0,0.0,0.0,0.0,0.0,1851582.32729921,1851582.32729921,1175372.68633011,2445,1588,33824.14329453,0.0,108.28585226,0.0,3.91775029,0.0,171957.93339416,0.0,0.0,0.0,0.0
2016-03-03,10602,1614335094,322,1997527,6203.5,0.0,0.0,0.0,263438.238540392,0.04729693044741999,0.0,0.05,0.0,144.82320103,0.0,1.76640333,0.0,0.0,0.0,0.0,0.0,1861197.21251802,1861197.21251802,1189025.75170794,4619,2235,1053664.91242366,0.0,1507.20388138,0.0,5.31218137,0.0,3368600.67489348,0.0,0.0,0.0,0.0
2016-03-04,4819,1614335094,260,1027372,3951.43076923,0.0,0.0,0.0,268855.750757206,0.0387407347102041,0.0,0.05,0.0,47.45740002,0.0,4.34700064,0.0,0.0,0.0,0.0,0.0,1869035.68163202,1869035.68163202,1201080.30985328,2494,1622,429959.83574745,0.0,289.09064702,0.0,9.8595395,0.0,468905.02947363,0.0,0.0,0.0,0.0
2016-03-05,11988,1614335095,298,1959833,6576.62080537,0.0,0.0,0.0,256794.912212925,0.0540588669036335,0.0,0.05,0.0,136.877051,0.0,66.40023711,0.0,0.0,0.0,0.0,0.0,1877996.45034187,1877996.45034187,1209144.73907099,3983,1366,28282.97807585,0.0,80.89728931,0.0,4.972106395,0.0,110505.69719976,0.0,0.0,0.0,0.0
2016-03-06,9077,1614335095,286,1571610,5495.13986014,0.0,0.0,0.0,255788.69168174,0.04549818745637001,0.0,0.05,0.0,104.28184565,0.0,24.80904113,0.0,0.0,0.0,0.0,0.0,1886567.3310531003,1886567.3310531003,1216858.1978558998,3680,1846,76043.54079905,0.0,112.05984216,0.0,6.42171973,0.0,206862.46863229,0.0,0.0,0.0,0.0
2016-03-07,7458,1614335095,288,1496456,5196.02777778,0.0,0.0,0.0,265021.365183431,0.0441311679026764,0.0,0.05,0.0,90.68955004,0.0,23.37035819,0.0,0.0,0.0,0.0,0.0,1895163.28838989,1895163.28838989,1224594.26230981,3447,2042,81092.60767833,0.0,111.93947354,0.0,10.94177903,0.0,228580.40496519,0.0,0.0,0.0,0.0
2016-03-08,7493,1614335095,289,1678260,5807.12802768,0.0,0.0,0.0,269827.064221034,0.0394602012707182,0.0,0.05,0.0,99.99215002,0.0,17.97560582,0.0,0.0,0.0,0.0,0.0,1903834.84092363,1903834.84092363,1232398.50909099,3938,1670,105912.13779132,0.0,162.23689883,0.0,9.0577413,0.0,270935.62103983,0.0,0.0,0.0,0.0
2016-03-09,5794,1614335096,272,1220647,4487.67279412,0.0,0.0,0.0,257551.220982332,0.035802373289987,0.0,0.02,0.0,55.06405012,0.0,19.25271566,0.0,0.0,0.0,0.0,0.0,1911919.10820369,1911919.10820369,1239669.29399857,2847,1704,99306.46366337,0.0,224.63072354,0.0,9.895608725,0.0,382770.75290495,0.0,0.0,0.0,0.0
2016-03-10,12873,1614335096,343,2193468,6394.95043732,0.0,0.0,0.0,259474.039149407,0.0361326880789085,0.0,0.022000000000000002,0.0,97.99185007,0.0,6.89202527,0.0,0.0,0.0,0.0,0.0,1921977.1055935002,1921977.1055935002,1253672.67925262,4341,2004,278869.71243173,0.0,148.6581403,0.0,8.51062772,0.0,297910.91316689,0.0,0.0,0.0,0.0
2016-03-11,5565,1614335096,257,1092775,4252.04280156,0.0,0.0,0.0,314383.382514012,0.0403995208333333,0.0,0.05,0.0,40.722716999999996,0.0,4.02033988,0.0,0.0,0.0,0.0,0.0,1929660.86031094,1929660.86031094,1260587.9664799,2252,1212,479974.55855670007,0.0,828.36749425,0.0,3.11135339,0.0,1003981.40302659,0.0,0.0,0.0,0.0
2016-03-12,10736,1614335096,281,1924459,6848.60854093,0.0,0.0,0.0,296778.001278202,0.0385834458183857,0.0,0.05,0.0,103.24930101,0.0,45.12337161,0.0,0.0,0.0,0.0,0.0,1938056.79894275,1938056.79894275,1268119.62234296,4036,1908,42950.17702902,0.0,79.38541807,0.0,8.35482528,0.0,151467.37768185,0.0,0.0,0.0,0.0
2016-03-13,9172,1614335096,272,1552478,5707.63970588,0.0,0.0,0.0,278768.674280844,0.0446170716152331,0.0,0.05,0.0,67.95180007,0.0,110.25916726,0.0,0.0,0.0,0.0,0.0,1946121.96933858,1946121.96933858,1280329.71034525,2829,1562,17650.43231909,0.0,19.21444473,0.0,8.0835332,0.0,30012.96266862,0.0,0.0,0.0,0.0
2016-03-14,7972,1614335096,301,1451199,4821.25913621,0.0,0.0,0.0,257883.887306825,0.0391459272454175,0.0,0.05,0.0,76.88260111,0.0,8.53561406,0.0,0.0,0.0,0.0,0.0,1955039.29143844,1955039.29143844,1288355.01712695,3408,1209,229044.94947024,0.0,374.59462242,0.0,4.22148509,0.0,452884.89850148,0.0,0.0,0.0,0.0
2016-03-15,10545,1614335097,322,2074621,6442.92236025,0.0,0.0,0.0,271195.057850421,0.0341581251436886,0.0,0.015,0.0,93.90068602,0.0,37.92117758,0.0,0.0,0.0,0.0,0.0,1964729.52944217,1964729.52944217,1302076.02242002,4318,1896,51810.87863918,0.0,105.08453568,0.0,8.10104436,0.0,199240.2796401,0.0,0.0,0.0,0.0
2016-03-16,7548,1614335097,243,1362830,5608.35390947,0.0,0.0,0.0,291369.209976507,0.0392284480184615,0.0,0.05,0.0,63.74622803,0.0,55.80110772,0.0,0.0,0.0,0.0,0.0,1972059.93185326,1972059.93185326,1308673.16847193,2812,1322,35340.87426602,0.0,37.88331789,0.0,6.27892573,0.0,50081.74624991,0.0,0.0,0.0,0.0
2016-03-17,7505,1614335097,302,1448840,4797.48344371,0.0,0.0,0.0,263109.538962825,0.0323144083823529,0.0,0.02,0.0,57.13187402,0.0,52.54494757,0.0,0.0,0.0,0.0,0.0,1981238.66865759,1981238.66865759,1316933.94491422,3254,1670,37705.59797624,0.0,36.84718577,0.0,6.964759925,0.0,61534.80022959,0.0,0.0,0.0,0.0
2016-03-18,8607,1614335097,324,1667717,5147.27469136,0.0,0.0,0.0,267715.324411658,0.0260973426745435,0.0,0.015,0.0,48.59325206,0.0,24.00709073,0.0,0.0,0.0,0.0,0.0,1990985.6538918999,1990985.6538918999,1325681.98024726,3440,1863,82933.23318551,0.0,105.33177075,0.0,10.13513669,0.0,196233.08890309,0.0,0.0,0.0,0.0
2016-03-19,12276,1614335097,271,2049469,7562.61623616,0.0,0.0,0.0,319946.513091609,0.0407623985892857,0.0,0.05,0.0,114.13471605,0.0,56.04292853,0.0,0.0,0.0,0.0,0.0,1999161.78813162,1999161.78813162,1333016.07032727,4124,1707,35671.97219503,0.0,32.13245179,0.0,8.62307448,0.0,54850.09521195,0.0,0.0,0.0,0.0
2016-03-20,5218,1614335098,283,1250912,4420.18374558,0.0,0.0,0.0,334002.2497944,0.0260258473716216,0.0,0.0038759999999999997,0.0,38.51825411,0.0,61.88722767,0.0,0.0,0.0,0.0,0.0,2007779.02829,2007779.02829,1340771.56438535,2875,2036,32442.5427316,0.0,26.70415688,0.0,13.805417385,0.0,54369.66341458,0.0,0.0,0.0,0.0
2016-03-21,9255,1614335098,267,1648670,6174.79400749,0.0,0.0,0.0,304302.84757017397,0.0369757174620617,0.0,0.05,0.0,70.66059607,0.0,46.05540739,0.0,0.0,0.0,0.0,0.0,2015812.24867408,2015812.24867408,1347977.16879344,3219,1883,43769.28493009,0.0,47.20389799,0.0,10.18349302,0.0,88884.93990851,0.0,0.0,0.0,0.0
2016-03-22,7242,1614335098,297,1575026,5303.11784512,0.0,0.0,0.0,271754.147024607,0.0311706285691574,0.0,0.02,0.0,58.81897611,0.0,27.86157796,0.0,0.0,0.0,0.0,0.0,2024636.62660599,2024636.62660599,1355918.97486363,3330,1987,72667.69419278,0.0,132.13772229,0.0,10.18349302,0.0,262557.65418705,0.0,0.0,0.0,0.0
2016-03-23,11656,1614335098,308,2237193,7263.61363636,0.0,0.0,0.0,290157.517579203,0.0308979914535091,0.0,0.015,0.0,86.73066201,0.0,53.38236185,0.0,0.0,0.0,0.0,0.0,2033827.18774437,2033827.18774437,1364190.26676555,4310,2377,38099.23572971,0.0,44.60487661,0.0,10.42514217,0.0,106025.79171107,0.0,0.0,0.0,0.0
2016-03-24,5727,1614335098,256,1296837,5065.76953125,0.0,0.0,0.0,317603.28061368,0.0357723250988822,0.0,0.05,0.0,41.60321409,0.0,33.16057114,0.0,0.0,0.0,0.0,0.0,2041514.50308031,2041514.50308031,1371108.77210125,2420,1429,61564.51572211,0.0,69.09215234,0.0,6.86168062,0.0,98732.68569351,0.0,0.0,0.0,0.0
2016-03-25,12070,1614335099,300,1976438,6588.12666667,0.0,0.0,0.0,291273.037493099,0.0467077559227273,0.0,0.05,0.0,102.75706303,0.0,44.49895885,0.0,0.0,0.0,0.0,0.0,2050533.79547976,2050533.79547976,1379419.1626638,3675,1903,46080.48926036,0.0,82.56450175,0.0,8.04678676,0.0,157120.24682538,0.0,0.0,0.0,0.0
2016-03-26,10258,1614335099,302,2191264,7255.8410596,0.0,0.0,0.0,286064.649239178,0.0330838845769817,0.0,0.025,0.0,86.81211313,0.0,78.61670998,0.0,0.0,0.0,0.0,0.0,2059565.97043173,2059565.97043173,1387523.8313853,4101,2004,26197.55992008,0.0,33.98408757,0.0,8.75799238,0.0,68104.11149729,0.0,0.0,0.0,0.0
2016-03-27,4961,1614335099,307,1930838,6289.37459283,0.0,0.0,0.0,320821.951315609,0.11789327903752,0.0,0.0038759999999999997,0.0,144.5371601,0.0,44.78796673,0.0,0.0,0.0,0.0,0.0,2068782.71853397,2068782.71853397,1395818.86375935,2733,1992,46190.59246151,0.0,69.13970485,0.0,10.10736575,0.0,137726.29206034,0.0,0.0,0.0,0.0
2016-03-28,13696,1614335099,270,2115516,7835.24444444,0.0,0.0,0.0,339814.075208137,0.0432632094803649,0.0,0.05,0.0,109.0665511,0.0,71.47278627,0.0,0.0,0.0,0.0,0.0,2076934.32137701,2076934.32137701,1403155.17326082,3854,1684,29059.0926935,0.0,36.712129600000004,0.0,6.313783455,0.0,61823.22623966,0.0,0.0,0.0,0.0
2016-03-29,6564,1614335099,276,1568188,5681.84057971,0.0,0.0,0.0,329979.787485742,0.0350102324968072,0.0,0.05,0.0,54.82602409,0.0,29.16629473,0.0,0.0,0.0,0.0,0.0,2085153.12053989,2085153.12053989,1410527.81204057,2910,1859,71491.87580459,0.0,93.48862641,0.0,8.27886453,0.0,173795.35648743,0.0,0.0,0.0,0.0
2016-03-30,7138,1614335100,317,1965388,6199.96214511,0.0,0.0,0.0,325224.81255295,0.0342335091462649,0.0,0.012,0.0,54.53398007,0.0,76.97621227,0.0,0.0,0.0,0.0,0.0,2094577.016971,2094577.016971,1420138.48648749,3134,2040,27210.70516699,0.0,22.81815315,0.0,10.02149075,0.0,46549.03241937,0.0,0.0,0.0,0.0
2016-03-31,11040,1614335100,276,2084508,7552.56521739,0.0,0.0,0.0,354748.803513524,0.0387104324261275,0.0,0.05,0.0,99.5632322,0.0,51.34411402,0.0,0.0,0.0,0.0,0.0,2102788.71394466,2102788.71394466,1427577.0522699,3915,1583,40954.81544277,0.0,65.977281,0.0,5.3163328000000005,0.0,104442.03582236,0.0,0.0,0.0,0.0
2016-04-01,7640,1614335100,300,1472648,4908.82666667,0.0,0.0,0.0,334459.968964566,0.0716452781364637,0.0,0.05,0.0,97.65251409999999,0.0,69.72751389,0.0,0.0,0.0,0.0,0.0,2111741.62524208,2111741.62524208,1435610.40843472,2827,1574,30285.62912348,0.0,26.54717564,0.0,6.035451405,0.0,41785.25446487,0.0,0.0,0.0,0.0
