date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-05-26,74523,1611240067,6724,8172845,1215.473676383105,804862838.2390175421931373555,110188713956769.54550863,0.000224185833217004,0.001503246528467234662380081066,0.000021,0.0001408125421879581615,8.349352986500866906,55.98541045970513291879868161,8.57673953,21553.6,6.554096804,144524.6290143988109384,21553.6,144524.6290143988109384,94.829529854808,58.547870955129206,0.0007589422732801375,6.7053591518075315,-18.38247915254785,7.641557156809958,120032770.80573,120032770.80573,111215516.462427836221961864,37243,34638,1265774.184365461,8487470.51125665757044552827,37.183690799496040765,249.3300014003822847387150276,0.7607347647464191,5.100999816890550792344007035,1287968.681912943860007577,8636292.588506441578709251791,0.07070912271868023,0.04335373143618105,0.04303754464520735
2020-05-27,111730,1611240067,6655,8130001,1221.638016528926,811778484.9816467017284074838,108976230186108.42013524,0.000237690053778866,0.001607205881936109312220312158,0.000021,0.000141997205958221145,8.657384828787626732,58.53925983775884466065679567,8.39404343,21339.2,6.487747907,144290.798923032031304,21339.2,144290.798923032031304,56.611543721453,59.16755015413433,0.0007374554862504819,6.761771712296245,-17.873260776540832,10.667462242124016,120054110.00573,120054110.00573,111236855.512308866149605911,36423,34732,2120664.834656939,14339451.49024468370865251289,62.451359582160475131,422.2818366170937436046924242,0.69994565,4.73287269631480819908425,2169060.621007597622252784,14666692.74938489990289773232,0.07067533566170198,0.043168104296909045,0.04256352734924474
2020-05-28,129118,1611240067,6683,8248330,1234.225647164447,824091595.920471899665072723,109082510379453.45398773,0.000208970588479468,0.00143418811960543890558509613,0.000021,0.000144125308402782231,7.830336920914160099,53.74046302973550191986483125,8.4377817,21425,6.5126713845,147042.130120457585675,21425,147042.130120457585675,43.256940457214,59.94545304790953,0.0007172786478228587,6.863109923942011,-16.320034936432624,11.192309840063709,120075535.00573,120075535.00573,111258280.362060108827286537,37471,34011,2775867.496326924,19051083.761589375872549274,84.30118234877732285,578.5682811779387324547637152,0.99907537,6.85676408661303649836907,2867167.51286426552745689,19677685.81114287422955699035,0.07063081739135241,0.04320230407840934,0.04257905603613756
2020-05-29,110141,1611240067,6634,8452846,1274.170334639735,867330772.9014380489864725972,109893667864423.01251131,0.000227929205534942,0.001646088899828729552021514825,0.000021,0.000151660542207716325,8.912715724032827635,64.36701425000274385154720503,8.43760503,21267.8,6.4637416015,153594.575217393774135,21267.8,153594.575217393774135,25.619291114501,63.50869513288264,0.0007656503511909901,7.221930581319825,-11.068817380971282,7.182174731643943,120096802.80573,120096802.80573,111279548.707357447475266204,39103,35735,4687748.863502074,33854596.87487288225779454482,133.879418997307353537,966.8678702659843183458526393,0.99935401,7.21726528638359820624825,4784181.037868778278654802,34551023.34395494961616203612,0.0707204095982757,0.04120955452612852,0.0429177187842826
2020-05-30,102541,1611240067,6622,8094514,1222.366958622773,898676084.0118889198557366503,109203517879521.19193597,0.000173547222622517,0.001298412364021566956324279688,0.000021,0.000157113777059749818,6.542556745646271578,48.94884771124907659020795834,8.3725479,21229.6,6.450991458,158831.5543556030826768,21229.6,158831.5543556030826768,54.38254007342,65.3937745489364,0.0007719619356240041,7.481608431416658,-13.570841423665692,15.47378085614409,120118032.40573,120118032.40573,111301778.232357447475266204,37699,36093,2208760.97812942,16525084.75695717321276546788,62.178491155960164594,465.1951236851976690946781423,0.99857886,7.47097601841043453064988,2244208.28129207022068592,16790287.59916983947059440107,0.07073458201209522,0.04086612101922491,0.0430630508537645
2020-05-31,96528,1611240068,6720,7935922,1180.940773809524,828629795.268765818926817688,110347228412330.97827381,0.00019434280084424,0.00134042624636556660143314164,0.000021,0.000144841748968295715,7.005669284833157602,48.31968532898590403067758533,8.5825764,21539.4,6.543956228,148562.112748938510651,21539.4,148562.112748938510651,14.133680595314,58.28480369839078,0.0007311073982917953,6.897226141347415,-19.655318370428247,3.544957513296678,120139571.80573,120139571.80573,111323317.632357447475266204,36048,35131,8500232.547037907,58628026.13096197256865606146,242.551269506593898179,1672.930956657881555686924416,0.99874233,6.88855170694622659657695,8521068.649036150236919243,58771737.43834803693278764026,0.07101364076380125,0.04352059138758091,0.044524397055398506
2020-06-01,13041,1611240068,6457,7319278,1133.54158277838,867221921.6502314954350401228,94588878816198.28186464,0.000172157385940472,0.001242495973082295284268578976,0.000021,0.0001515614058158988795,5.33722327892651028,38.5198601574972991762475762,7.06920034,20704.2,6.289127536,149426.5551568349324259,20704.2,149426.5551568349324259,49.081440325817,60.820268728441754,0.0007076295943113971,7.2172098007570895,-24.611419759264276,-3.310042628796908,120160276.00573,120160276.00573,111344021.832357447475266204,31002,30838,2448181.5368104773,17669039.78150113004785061585,80.933711493934917946,584.1155758056737935301545109,0.8148606154869245,5.881020020343185689208787926,2495833.7950499649996128,18012956.12669536844483997684,0.07105774057522322,0.038963135599561556,0.04481270858761157
2020-06-02,14296,1611240068,6768,8167424,1206.770685579196,837312126.8930295296610951727,95975289334561.4784279,0.000175628621239691,0.001223610827008034214105554088,0.000021,0.000146307744066954036,6.278547580697706006,43.742863454710162498040837,7.51939035,21706,6.592244414,151226.471081776395496,21706,151226.471081776395496,20.362890776252,57.65563760535208,0.0007324202716515851,6.967035431759716,-26.232865124367493,-3.2964598797754703,120181982.00573,120181982.00573,111365727.832357447475266204,35749,35127,5902009.853428758,41119511.76743312513813218031,169.075650678516928988,1177.956048925056111823587141,0.866114898,6.034253182340952383848968,5939120.381384264164553625,41378062.13059044603997244731,0.07111403408612395,0.03895888016353975,0.045125104916803424
2020-06-03,13655,1611240068,6706,7529279,1122.767521622428,833797802.7317519499619582223,102654712882890.32001193,0.000168068000002222,0.001165812564156982616477365302,0.000021,0.000145667609818483956,5.326411056070432436,36.94693178326318195251575614,7.9704925,21499.6,6.528391606,149133.1116215941743056,21499.6,149133.1116215941743056,52.748536457678,57.28271160504896,0.0007193897704919845,6.936552848499236,-15.804613765877775,-3.94523801999173,120203481.60573,120203481.60573,111392025.232357447475266204,31692,31646,2278802.2128760633,15807031.98089181925619067274,73.713707536770785851,511.3190279876269958137794537,0.6,4.1619317090995416,2332743.988708648289033503,16181201.95969644390947262314,0.07109811596735545,0.03895762627909901,0.04514165155225478
2020-06-04,14474,1611240069,6665,7703659,1155.837809452363,832184922.5228345004035335504,103204829135839.92333083,0.000173210380692605,0.001198945770219612991706323193,0.000021,0.000145360001369056572,5.682859380143669281,39.33621177513522613446174921,7.96208548,21361.6,6.4853351475,147862.9621545351842112,21361.6,147862.9621545351842112,79.254357089616,57.22051965862502,0.0007053551839600842,6.921904827097932,-15.099855082919678,-3.568553437003388,120224843.20573,120224843.20573,111413386.750560944353851116,32809,32401,1516949.3214081263,10500178.83031784175393979072,47.272629554740881932,327.2166427045732745369027698,0.71853627,4.97363967575794298399364,1531680.470203159315484182,10602146.44027087866830791103,0.0710963211011342,0.03894794437063247,0.044995498426136614
